Nombre;Codigo;descripcion;Stock;StockMinimo;PrecioUnitario;Observaciones;Rentabilidad;Iva;CostoInterno;CodigoProveedor;Deposito;CodigoBarra;Rubro;SubRubro;Tipo;PrecioAutomatico
SLIP DE NIÑO EYELIT RAYADO TALLE 4;3544;SLIP DE NIÑO EYELIT RAYADO TALLE 4;10;;1520;;;21;726,75;;Principal;;Boxers;Eyelit;;
SLIP DE NIÑO EYELIT RAYADO TALLE 6;3546;SLIP DE NIÑO EYELIT RAYADO TALLE 6;10;;1520;;;21;726,75;;Principal;;Boxers;Eyelit;;
MEDIAS TERMICAS RHYTON SKI NENA TALLE 4;364NENA4;MEDIAS TERMICAS RHYTON SKI NENA TALLE 4;17;;660;;;21;269,94;;Principal;;Medias;Rhyton;;
BIKINI FUNCIDA CON VEDETINA AMARILLO TALLE 100;3A100;BIKINI FUNCIDA CON VEDETINA AMARILLO TALLE 100;2;;2299;;;21;991,74;;Principal;;Mallas;;;
BIKINI FUNCIDA CON VEDETINA AMARILLO TALLE 85;3A85;BIKINI FUNCIDA CON VEDETINA AMARILLO TALLE 85;4;;2299;;;21;991,74;;Principal;;Mallas;;;
BIKINI FUNCIDA CON VEDETINA AMARILLO TALLE 90;3A90;BIKINI FUNCIDA CON VEDETINA AMARILLO TALLE 90;2;;2299;;;21;991,74;;Principal;;Mallas;;;
BIKINI FUNCIDA CON VEDETINA AMARILLO TALLE 95;3A95;BIKINI FUNCIDA CON VEDETINA AMARILLO TALLE 95;4;;2299;;;21;991,74;;Principal;;Mallas;;;
BIKINI FUNCIDA CON VEDETINA FUCSIA TALLE 90;3F90;BIKINI FUNCIDA CON VEDETINA FUCSIA TALLE 90;2;;2299;;;21;991,74;;Principal;;Mallas;;;
BIKINI FUNCIDA CON VEDETINA FUCSIA TALLE 95;3F95;BIKINI FUNCIDA CON VEDETINA FUCSIA TALLE 95;2;;2299;;;21;991,74;;Principal;;Mallas;;;
MEDIAS COLEGIALES RHYTON AZUL TALLE 5;400A5;MEDIAS COLEGIALES RHYTON AZUL TALLE 5;36;;480;;;21;225,89;;Principal;;Medias;Rhyton;;
CALZA FRIZADA DAMA ELEMENTO GRIS TALLE 1;401G1;CALZA FRIZADA DAMA ELEMENTO GRIS TALLE 1;3;;6450;;;21;3067,29;;Principal;;Deportivo;Elemento Ropa;;
CALZA FRIZADA DAMA ELEMENTO NEGRO TALLE 1;401N1;CALZA FRIZADA DAMA ELEMENTO NEGRO TALLE 1;3;;6450;;;21;3067,29;;Principal;;Deportivo;Elemento Ropa;;
